Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,PK,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,Team
Emerson,br BRA,DF,24.0,22,11,1161.0,12.9,1.0,0.0,0.0,4.0,0.0,0.2,0.2,0.4,21.0,57.0,Tottenham-Hotspur
Timo Werner,de GER,FW,27.0,13,10,809.0,9.0,2.0,3.0,0.0,1.0,0.0,3.7,3.7,2.7,79.0,41.0,Tottenham-Hotspur
Pierre Højbjerg,dk DEN,MF,27.0,36,8,1311.0,14.6,0.0,0.0,0.0,4.0,0.0,0.7,0.7,1.2,17.0,134.0,Tottenham-Hotspur
Oliver Skipp,eng ENG,"MF,DF",22.0,21,5,707.0,7.9,0.0,0.0,0.0,3.0,0.0,0.7,0.7,0.6,8.0,37.0,Tottenham-Hotspur
Giovani Lo Celso,ar ARG,MF,27.0,22,4,506.0,5.6,2.0,2.0,0.0,2.0,0.0,0.6,0.6,1.9,25.0,68.0,Tottenham-Hotspur
Radu Drăgușin,ro ROU,DF,21.0,9,4,429.0,4.8,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,5.0,8.0,Tottenham-Hotspur
Bryan Gil,es ESP,"FW,MF",22.0,11,2,209.0,2.3,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.2,11.0,16.0,Tottenham-Hotspur
Manor Solomon,il ISR,FW,24.0,5,2,199.0,2.2,0.0,2.0,0.0,1.0,0.0,0.4,0.4,0.8,17.0,11.0,Tottenham-Hotspur
Eric Dier,eng ENG,DF,29.0,4,1,201.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Tottenham-Hotspur
Ivan Perišić,hr CRO,FW,34.0,5,0,103.0,1.1,0.0,1.0,0.0,2.0,0.0,0.1,0.1,0.9,15.0,9.0,Tottenham-Hotspur
Davinson Sánchez,co COL,DF,27.0,1,0,77.0,0.9,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.0,2.0,Tottenham-Hotspur
Alejo Véliz,ar ARG,FW,19.0,8,0,50.0,0.6,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,1.0,Tottenham-Hotspur
Dane Scarlett,eng ENG,FW,19.0,4,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Tottenham-Hotspur
Mikey Moore,eng ENG,MF,15.0,2,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,Tottenham-Hotspur
Jamie Donley,nir NIR,FW,18.0,3,0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham-Hotspur
Brandon Austin,eng ENG,GK,24.0,0,0,,,,,,,,,,,,,Tottenham-Hotspur
Alfie Dorrington,eng ENG,DF,18.0,0,0,,,,,,,,,,,,,Tottenham-Hotspur
Fraser Forster,eng ENG,GK,35.0,0,0,,,,,,,,,,,,,Tottenham-Hotspur
Tyrese Hall,eng ENG,MF,17.0,0,0,,,,,,,,,,,,,Tottenham-Hotspur
Ashley Phillips,wls WAL,DF,18.0,0,0,,,,,,,,,,,,,Tottenham-Hotspur
Yago Santiago,es ESP,"FW,MF",20.0,0,0,,,,,,,,,,,,,Tottenham-Hotspur
Alfie Whiteman,eng ENG,GK,24.0,0,0,,,,,,,,,,,,,Tottenham-Hotspur
Vladimír Coufal,cz CZE,DF,30.0,36,36,3132.0,34.8,0.0,7.0,0.0,7.0,1.0,0.3,0.3,4.0,68.0,119.0,West-Ham-United
Emerson Palmieri,it ITA,DF,28.0,36,35,3137.0,34.9,1.0,2.0,0.0,10.0,0.0,1.5,1.5,2.4,59.0,125.0,West-Ham-United
Jarrod Bowen,eng ENG,FW,26.0,34,34,3019.0,33.5,16.0,6.0,0.0,2.0,0.0,11.6,11.6,5.5,90.0,52.0,West-Ham-United
James Ward-Prowse,eng ENG,MF,28.0,37,34,3001.0,33.3,7.0,7.0,2.0,4.0,0.0,6.0,4.4,7.8,18.0,144.0,West-Ham-United
Tomáš Souček,cz CZE,MF,28.0,37,34,2870.0,31.9,7.0,2.0,0.0,7.0,0.0,6.7,6.7,1.7,7.0,86.0,West-Ham-United
Kurt Zouma,fr FRA,DF,28.0,33,32,2838.0,31.5,3.0,0.0,0.0,3.0,0.0,1.8,1.8,0.2,7.0,53.0,West-Ham-United
Alphonse Areola,fr FRA,GK,30.0,31,31,2699.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,West-Ham-United
Lucas Paquetá,br BRA,"FW,MF",25.0,31,31,2622.0,29.1,4.0,6.0,2.0,10.0,0.0,5.4,3.8,5.4,34.0,187.0,West-Ham-United
Edson Álvarez,mx MEX,MF,25.0,31,28,2377.0,26.4,1.0,1.0,0.0,11.0,0.0,1.3,1.3,0.6,20.0,91.0,West-Ham-United
Mohammed Kudus,gh GHA,"FW,MF",22.0,33,27,2484.0,27.6,8.0,6.0,0.0,6.0,0.0,5.1,5.1,3.5,117.0,80.0,West-Ham-United
Nayef Aguerd,ma MAR,DF,27.0,21,21,1857.0,20.6,1.0,0.0,0.0,3.0,1.0,1.5,1.5,0.3,10.0,68.0,West-Ham-United
Michail Antonio,jm JAM,FW,33.0,26,21,1695.0,18.8,6.0,2.0,0.0,6.0,0.0,5.8,5.8,0.9,48.0,22.0,West-Ham-United
Konstantinos Mavropanos,gr GRE,DF,25.0,19,16,1500.0,16.7,1.0,0.0,0.0,2.0,0.0,1.2,1.2,0.2,10.0,38.0,West-Ham-United
Łukasz Fabiański,pl POL,GK,38.0,10,7,721.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,West-Ham-United
Angelo Ogbonna,it ITA,DF,35.0,11,7,635.0,7.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,West-Ham-United
Saïd Benrahma,dz ALG,"FW,MF",27.0,13,5,620.0,6.9,0.0,1.0,0.0,1.0,0.0,1.8,1.0,1.4,28.0,28.0,West-Ham-United
Ben Johnson,eng ENG,"DF,FW",23.0,14,4,544.0,6.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,17.0,22.0,West-Ham-United
Aaron Cresswell,eng ENG,"DF,FW",33.0,11,4,436.0,4.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,4.0,26.0,West-Ham-United
Pablo Fornals,es ESP,"MF,FW",27.0,15,4,426.0,4.7,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,4.0,29.0,West-Ham-United
Danny Ings,eng ENG,FW,31.0,20,3,404.0,4.5,1.0,0.0,0.0,1.0,0.0,1.3,1.3,0.3,7.0,8.0,West-Ham-United
Maxwel Cornet,ci CIV,"MF,FW",26.0,7,1,112.0,1.2,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,3.0,2.0,West-Ham-United
Divin Mubama,eng ENG,FW,18.0,5,0,80.0,0.9,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,West-Ham-United
George Earthy,eng ENG,FW,18.0,3,0,34.0,0.4,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,1.0,West-Ham-United
Thilo Kehrer,de GER,"DF,MF",26.0,4,0,22.0,0.2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,West-Ham-United
Kaelan Casey,eng ENG,DF,18.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West-Ham-United
Joseph Anang,eng ENG,GK,23.0,0,0,,,,,,,,,,,,,West-Ham-United
Conor Coventry,ie IRL,MF,23.0,0,0,,,,,,,,,,,,,West-Ham-United
Levi Laing,eng ENG,DF,20.0,0,0,,,,,,,,,,,,,West-Ham-United
Callum Marshall,nir NIR,FW,18.0,0,0,,,,,,,,,,,,,West-Ham-United
Lewis Orford,eng ENG,MF,17.0,0,0,,,,,,,,,,,,,West-Ham-United
Oliver Scarles,eng ENG,MF,17.0,0,0,,,,,,,,,,,,,West-Ham-United
Max Kilman,eng ENG,DF,26.0,38,38,3420.0,38.0,2.0,0.0,0.0,7.0,0.0,1.8,1.8,1.4,22.0,117.0,Wolverhampton-Wanderers
Nélson Semedo,pt POR,"DF,MF",29.0,36,36,3084.0,34.3,0.0,1.0,0.0,10.0,1.0,1.3,1.3,1.7,103.0,138.0,Wolverhampton-Wanderers
José Sá,pt POR,GK,30.0,35,35,3037.0,33.7,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Wolverhampton-Wanderers
Mario Lemina,ga GAB,MF,29.0,35,34,2968.0,33.0,4.0,1.0,0.0,12.0,1.0,4.6,4.6,1.5,32.0,76.0,Wolverhampton-Wanderers
João Gomes,br BRA,MF,22.0,34,32,2649.0,29.4,2.0,1.0,0.0,11.0,0.0,1.7,1.7,1.1,28.0,101.0,Wolverhampton-Wanderers
Toti Gomes,pt POR,DF,24.0,35,31,2772.0,30.8,1.0,3.0,0.0,7.0,0.0,1.6,1.6,1.2,22.0,79.0,Wolverhampton-Wanderers
Matheus Cunha,br BRA,"FW,MF",24.0,32,29,2440.0,27.1,12.0,7.0,1.0,9.0,0.0,9.5,8.7,3.2,107.0,87.0,Wolverhampton-Wanderers
Rayan Aït-Nouri,dz ALG,"DF,MF",22.0,33,29,2329.0,25.9,2.0,1.0,0.0,7.0,0.0,3.3,3.3,2.4,67.0,99.0,Wolverhampton-Wanderers
Craig Dawson,eng ENG,DF,33.0,25,25,2209.0,24.5,1.0,1.0,0.0,7.0,0.0,1.5,1.5,1.4,1.0,49.0,Wolverhampton-Wanderers
Hwang Hee-chan,kr KOR,"FW,MF",27.0,29,25,2119.0,23.5,12.0,3.0,1.0,6.0,0.0,7.7,6.9,3.0,37.0,37.0,Wolverhampton-Wanderers
Pablo Sarabia,es ESP,"MF,FW",31.0,30,20,1745.0,19.4,4.0,7.0,2.0,5.0,0.0,5.5,3.9,5.9,41.0,109.0,Wolverhampton-Wanderers
Pedro Neto,pt POR,"FW,MF",23.0,20,18,1516.0,16.8,2.0,9.0,0.0,4.0,0.0,3.5,3.5,4.4,98.0,54.0,Wolverhampton-Wanderers
Tommy Doyle,eng ENG,MF,21.0,26,11,1222.0,13.6,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.4,21.0,81.0,Wolverhampton-Wanderers
Jean-Ricner Bellegarde,fr FRA,"MF,FW",25.0,22,10,958.0,10.6,2.0,1.0,0.0,0.0,1.0,1.6,1.6,1.0,30.0,39.0,Wolverhampton-Wanderers
Matt Doherty,ie IRL,"DF,MF",31.0,30,9,1150.0,12.8,1.0,0.0,0.0,2.0,0.0,0.8,0.8,1.3,12.0,31.0,Wolverhampton-Wanderers
Santiago Bueno,uy URU,DF,24.0,12,9,822.0,9.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,3.0,11.0,Wolverhampton-Wanderers
Boubacar Traoré,ml MLI,MF,21.0,24,7,819.0,9.1,0.0,0.0,0.0,4.0,0.0,0.3,0.3,0.4,9.0,29.0,Wolverhampton-Wanderers
Hugo Bueno,es ESP,"DF,MF",20.0,22,7,741.0,8.2,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.8,22.0,8.0,Wolverhampton-Wanderers
Daniel Bentley,eng ENG,GK,30.0,5,3,383.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wolverhampton-Wanderers
Fábio Silva,pt POR,FW,21.0,8,3,264.0,2.9,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.2,5.0,10.0,Wolverhampton-Wanderers
Leon Chiwome,eng ENG,FW,17.0,3,2,174.0,1.9,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,2.0,Wolverhampton-Wanderers
Nathan Fraser,ie IRL,FW,18.0,7,1,186.0,2.1,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,1.0,2.0,Wolverhampton-Wanderers
Sasa Kalajdzic,at AUT,FW,26.0,11,1,166.0,1.8,2.0,0.0,0.0,0.0,0.0,1.1,1.1,1.0,1.0,5.0,Wolverhampton-Wanderers
Tawanda Chirewa,zw ZIM,"MF,FW",19.0,8,1,145.0,1.6,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,1.0,7.0,Wolverhampton-Wanderers
Jonny Castro,es ESP,MF,29.0,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wolverhampton-Wanderers
Enso Gonzalez,py PAR,"MF,DF",18.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wolverhampton-Wanderers
Ty Barnett,eng ENG,MF,18.0,0,0,,,,,,,,,,,,,Wolverhampton-Wanderers
Harvey Griffiths,eng ENG,MF,19.0,0,0,,,,,,,,,,,,,Wolverhampton-Wanderers
Owen Hesketh,wls WAL,MF,20.0,0,0,,,,,,,,,,,,,Wolverhampton-Wanderers
Joseph Hodge,ie IRL,MF,20.0,0,0,,,,,,,,,,,,,Wolverhampton-Wanderers
Fletcher Holman,eng ENG,FW,18.0,0,0,,,,,,,,,,,,,Wolverhampton-Wanderers
Justin Hubner,id IDN,DF,19.0,0,0,,,,,,,,,,,,,Wolverhampton-Wanderers
Tom King,wls WAL,GK,28.0,0,0,,,,,,,,,,,,,Wolverhampton-Wanderers
Noha Lemina,fr FRA,MF,18.0,0,0,,,,,,,,,,,,,Wolverhampton-Wanderers
Yerson Mosquera,co COL,DF,22.0,0,0,,,,,,,,,,,,,Wolverhampton-Wanderers
Temple Ojinnaka,it ITA,MF,18.0,0,0,,,,,,,,,,,,,Wolverhampton-Wanderers
Wesley Okoduwa,eng ENG,FW,15.0,0,0,,,,,,,,,,,,,Wolverhampton-Wanderers
Matthew Whittingham,eng ENG,MF,18.0,0,0,,,,,,,,,,,,,Wolverhampton-Wanderers
